"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_SD_001","28","50","0.34","Seed Dispersal","1","Baird, J.W. 1980. The selection and use of fruit by birds in an eastern forest. Wilson Bulletin 92: 63-73.","Princeton, Mercer, New Jersey, USA","40.331926","-74.666728"
"M_SD_002","40","119","0.43","Seed Dispersal","1","Beehler, B. 1983. Frugivory and polygamy in birds of paradise. Auk, 100: 1-12.","Mount Missim, Morobe Prov., New Guinea","-7.266667","146.7"
"M_SD_003","41","68","0.17","Seed Dispersal","1","Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131","Caguana, Puerto Rico","18.296944","-66.781944"
"M_SD_004","54","95","0.14","Seed Dispersal","1","Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131","Cialitos, Puerto Rico","18.258333","-66.535556"
"M_SD_005","38","49","0.15","Seed Dispersal","1","Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131","Cordillera, Puerto Rico","18.1725","-66.591944"
"M_SD_006","36","51","0.16","Seed Dispersal","1","Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131","Fronton, Puerto Rico","18.308333","-66.558611"
"M_SD_007","79","143","0.28","Seed Dispersal","0","Crome, F.H.J. 1975. The ecology of fruit pigeons in tropical Northern Queensland. Australian Journal of Wildlife Research, 2: 155-185.","Tropical rainforest. Queensland, Australia.","-17.85","146.083333"
"M_SD_008","26","110","0.69","Seed Dispersal","1","Frost, P.G.H. 1980. Fruit-frugivore interactions in a South African coastal dune forest. Pages 1179-1184 in: R. Noring (ed.). Acta XVII Congresus Internationalis Ornithologici, Deutsches Ornithologische Gessenshaft, Berlin.","Mtunzini, South Africa","-28.95","31.75"
"M_SD_009","25","38","0.3","Seed Dispersal","1","Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.","Santa Genebra Reserve T1. SE Brazil","-22.816667","-47.1"
"M_SD_010","64","234","0.33","Seed Dispersal","1","Snow, B.K., Snow, D.W. 1971. The feeding ecology of tanagers and honeycreepers in Trinidad. Auk, 88: 291-322.","Tropical rainforest. Trinidad.","10.716667","-61.3"
"M_SD_011","25","47","0.31","Seed Dispersal","0","Snow B.K. & Snow D.W. (1988) Birds and berries, Calton, England.","Calton, Great Britain","53.056889","-1.851371"
"M_SD_012","64","146","0.14","Seed Dispersal","1","Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.","Santa Genebra Reserve T2. SE Brazil","-22.816667","-47.1"
"M_SD_013","55","197","0.29","Seed Dispersal","0","Hammann, A. & Curio, B. (1999) Interactions among frugivores and fleshy fruit trees in a Philippine submontane rainforest.","North Negros Forest Reserve, Central Philippi","10.683333","123.183333"
"M_SD_014","33","121","0.44","Seed Dispersal","0","Jordano P. (1985) El ciclo anual de los paseriformes frugívoros en el matorral mediterráneo del sur de España: importancia de su invernada y variaciones interanuales. Ardeola, 32, 69-94.","Hato Ratón, Sevilla. Spain","37.180449","-6.324044"
"M_SD_015","32","86","0.64","Seed Dispersal","0","Kantak, G.E. 1979. Observations on some fruit-eating birds in Mexico. Auk, 96: 183-186.","Campeche state, Mexico","18.506978","-89.486184"
