V1 V2 weight
A	B	0.0117
A	D	0.0024
A	EP	0.0142
A	F	0.0031
A	G	0.0027
A	J	0.0122
A	K	0.0119
A	L	0.0117
A	N	0.0027
A	O	0.0146
A	P	0.0124
A	Q	0.0031
A	T	0.0024
B	D	0.0022
B	EP	0.0114
B	F	0.0028
B	G	0.0028
B	J	0.0074
B	K	0.0167
B	L	0.0083
B	N	0.0025
B	O	0.011
B	P	0.0099
B	Q	0.0024
B	T	0.0024
D	EP	0.0025
D	F	0.0046
D	G	0.0102
D	J	0.0023
D	K	0.0023
D	L	0.0022
D	N	0.0078
D	O	0.002
D	P	0.0022
D	Q	0.0072
D	T	0.0012
EP	F	0.0032
EP	G	0.0026
EP	J	0.0118
EP	K	0.0094
EP	L	0.011
EP	N	0.0026
EP	O	0.0111
EP	P	0.0119
EP	Q	0.0033
EP	T	0.0022
F	G	0.0052
F	J	0.003
F	K	0.003
F	L	0.0029
F	N	0.0048
F	O	0.0024
F	P	0.0028
F	Q	0.0049
F	T	0.0014
G	J	0.0022
G	K	0.0033
G	L	0.0022
G	N	0.01
G	O	0.0027
G	P	0.0023
G	Q	0.0087
G	T	0.0015
J	K	0.0064
J	L	0.0101
J	N	0.0024
J	O	0.0108
J	P	0.0101
J	Q	0.0031
J	T	0.0017
K	L	0.0075
K	N	0.0031
K	O	0.0116
K	P	0.0086
K	Q	0.0029
K	T	0.002
L	N	0.0023
L	O	0.01
L	P	0.0098
L	Q	0.0029
L	T	0.0021
N	O	0.0027
N	P	0.0024
N	Q	0.0071
N	T	0.0014
O	P	0.0102
O	Q	0.0021
O	T	0.0041
P	Q	0.0028
P	T	0.0021
Q	T	0.001
